Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,26,6,30,22.5,39
2019,1,26,7,30,25.7,163
2019,1,26,8,30,29.4,508
2019,1,26,9,30,32.7,680
2019,1,26,10,30,35.3,814
2019,1,26,11,30,36.8,875
2019,1,26,12,30,37.4,845
2019,1,26,13,30,37.3,751
2019,1,26,14,30,36.6,595
2019,1,26,15,30,34.4,387
2019,1,26,16,30,30.7,163
2019,1,26,17,30,27.8,2
2019,1,26,18,30,26.6,0
2019,1,26,19,30,25.6,0
2019,1,26,20,30,24.7,0
2019,1,26,21,30,23.7,0
2019,1,26,22,30,22.7,0
2019,1,26,23,30,22.2,0
2019,1,27,0,30,20.9,0
2019,1,27,1,30,20.3,0
2019,1,27,2,30,19.9,0
2019,1,27,3,30,19.6,0
2019,1,27,4,30,19.4,0
2019,1,27,5,30,20.1,0
2019,1,27,6,30,22.4,63
2019,1,27,7,30,25.9,159
2019,1,27,8,30,29.6,452
2019,1,27,9,30,32.6,696
2019,1,27,10,30,34.7,826
2019,1,27,11,30,36.1,886
2019,1,27,12,30,36.8,841
2019,1,27,13,30,36.8,710
2019,1,27,14,30,36.1,563
2019,1,27,15,30,34.1,338
2019,1,27,16,30,30.6,157
2019,1,27,17,30,28.1,2
2019,1,27,18,30,27.1,0
2019,1,27,19,30,26.3,0
2019,1,27,20,30,25.4,0
2019,1,27,21,30,24.7,0
2019,1,27,22,30,23.8,0
2019,1,27,23,30,23.4,0
2019,1,28,0,30,22.4,0
2019,1,28,1,30,22,0
2019,1,28,2,30,21.9,0
2019,1,28,3,30,21.9,0
2019,1,28,4,30,21.6,0
2019,1,28,5,30,22,0
2019,1,28,6,30,24,50
2019,1,28,7,30,26.6,202
2019,1,28,8,30,28.9,421
2019,1,28,9,30,30.7,561
2019,1,28,10,30,32.2,688
2019,1,28,11,30,33.3,776
2019,1,28,12,30,33.9,768
2019,1,28,13,30,34,677
2019,1,28,14,30,33.5,340
2019,1,28,15,30,32.3,236
2019,1,28,16,30,30.3,73
2019,1,28,17,30,28.6,2
2019,1,28,18,30,27.6,0
2019,1,28,19,30,26.7,0
2019,1,28,20,30,25.8,0
2019,1,28,21,30,25.1,0
2019,1,28,22,30,24.5,0
2019,1,28,23,30,24.3,0
2019,1,29,0,30,23.6,0
2019,1,29,1,30,23.2,0
